Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,115.55000305175781,124.125,115.55000305175781,123.5250015258789,90.64044189453125,93052
2010-01-05,126.25,133.1999969482422,124.5250015258789,128.60000610351562,94.3644027709961,493954
2010-01-06,130.0,134.5,128.75,130.3000030517578,95.61180877685547,117904
2010-01-07,125.0250015258789,131.9499969482422,125.0250015258789,128.52499389648438,94.30934143066406,43326
2010-01-08,128.5749969482422,133.25,125.5,127.375,93.46549224853516,66340
2010-01-11,125.1500015258789,133.0,125.1500015258789,130.02499389648438,95.4100112915039,49316
2010-01-12,132.35000610351562,132.5,126.5,127.875,93.83238983154297,26502
2010-01-13,128.5,128.75,125.5999984741211,127.07499694824219,93.2453842163086,17652
2010-01-14,126.5250015258789,131.9499969482422,125.125,127.5250015258789,93.57557678222656,28918
2010-01-15,127.17500305175781,130.0,127.125,129.1750030517578,94.78630828857422,29282
2010-01-18,129.5,133.0,128.52499389648438,131.22500610351562,96.2905502319336,98710
2010-01-19,132.0,139.0,131.72500610351562,137.4250030517578,100.84002685546875,585900
2010-01-20,141.39999389648438,146.5,136.5500030517578,140.0500030517578,102.76620483398438,483016
2010-01-21,141.10000610351562,142.0,135.0,136.0500030517578,99.8310546875,299644
2010-01-22,135.0,137.4250030517578,130.5,136.5749969482422,100.2162857055664,132882
2010-01-25,140.85000610351562,140.85000610351562,135.5,137.5749969482422,100.95008087158203,247582
2010-01-27,137.39999389648438,139.39999389648438,132.5,133.6999969482422,98.1066665649414,675182
2010-01-28,136.4250030517578,139.5,133.625,138.125,101.3536605834961,145190
2010-01-29,139.0,141.0,134.5,140.3000030517578,102.94965362548828,163724
2010-02-01,140.0,143.47500610351562,138.5500030517578,140.64999389648438,103.2064437866211,175942
2010-02-02,140.0,142.4499969482422,138.52499389648438,139.3000030517578,104.443603515625,93016
2010-02-03,140.0,141.9499969482422,137.5,138.77499389648438,104.04996490478516,121178
2010-02-04,139.97500610351562,139.97500610351562,132.5,132.72500610351562,99.51383209228516,30492
2010-02-05,127.5,138.0,127.5,133.625,100.18861389160156,168790
2010-02-08,134.9499969482422,134.9499969482422,130.5500030517578,134.125,100.56351470947266,47010
2010-02-09,133.5,134.6999969482422,132.0,133.4499969482422,100.0573959350586,16948
2010-02-10,134.10000610351562,134.4499969482422,131.5,131.52499389648438,98.61410522460938,19124
2010-02-11,134.5,134.75,130.5,131.3000030517578,98.44538879394531,34192
2010-02-15,133.47500610351562,133.47500610351562,130.0,131.35000610351562,98.4828872680664,22362
2010-02-16,132.25,132.375,130.0,130.4250030517578,97.78934478759766,21376
2010-02-17,131.97500610351562,132.5,128.25,128.625,96.43972778320312,20768
2010-02-18,130.0,139.35000610351562,128.75,133.97500610351562,100.45105743408203,309948
2010-02-19,137.4499969482422,144.5,136.75,137.625,103.1877212524414,1806536
2010-02-22,139.0,139.9250030517578,133.85000610351562,138.1750030517578,103.60010528564453,377692
2010-02-23,137.9499969482422,144.35000610351562,136.25,138.9499969482422,104.18115997314453,665036
2010-02-24,138.5,140.89999389648438,136.02499389648438,138.97500610351562,104.19993591308594,332178
2010-02-25,139.5500030517578,140.5,136.02499389648438,136.6999969482422,102.49417114257812,48030
2010-02-26,139.0,141.8249969482422,137.0749969482422,138.22500610351562,103.63760375976562,141996
2010-03-02,139.9499969482422,141.5,139.10000610351562,140.3249969482422,105.21208953857422,145126
2010-03-03,139.0,143.0,139.0,142.5,106.84288787841797,110198
2010-03-04,133.22500610351562,155.5,133.22500610351562,153.3249969482422,114.95919799804688,516796
2010-03-05,157.0,159.75,153.64999389648438,156.8000030517578,117.56463623046875,356320
2010-03-08,157.5,161.4499969482422,155.0,156.4499969482422,117.30224609375,95214
2010-03-09,154.0,157.27499389648438,148.77499389648438,154.9250030517578,116.15880584716797,94692
2010-03-10,154.5,160.39999389648438,153.97500610351562,157.72500610351562,118.2582015991211,92530
2010-03-11,156.10000610351562,158.9499969482422,155.625,157.97500610351562,118.44560241699219,24304
2010-03-12,156.0,164.5,156.0,163.75,122.77558898925781,112744
2010-03-15,164.0,164.97500610351562,158.0,160.77499389648438,120.54501342773438,163604
2010-03-16,163.5,167.5,162.02499389648438,163.8000030517578,122.81304168701172,67110
2010-03-17,162.5500030517578,165.9499969482422,156.52499389648438,157.1999969482422,117.86456298828125,68906
2010-03-18,159.1999969482422,165.39999389648438,155.8249969482422,163.875,122.86931610107422,57910
2010-03-19,163.75,167.5,162.25,164.14999389648438,123.07544708251953,219562
2010-03-22,164.1999969482422,164.1999969482422,158.0,159.1750030517578,119.34536743164062,41968
2010-03-23,160.02499389648438,162.5,157.125,158.0,118.46435546875,30644
2010-03-25,160.5,160.5,154.0500030517578,156.35000610351562,117.2272720336914,16088
2010-03-26,156.5,158.375,156.5,157.10000610351562,117.78960418701172,21312
2010-03-29,157.5,159.75,155.0,158.9250030517578,119.15789794921875,42054
2010-03-30,155.5500030517578,164.0,155.5,158.77499389648438,119.04545593261719,108902
2010-03-31,157.6999969482422,161.5,157.0,157.6750030517578,118.22068786621094,107924
2010-04-01,159.22500610351562,159.9499969482422,157.25,158.5500030517578,118.87676239013672,192294
2010-04-05,159.0,160.0,156.25,157.0,117.7146224975586,30728
2010-04-06,157.0,157.9250030517578,154.0,154.97500610351562,116.19631958007812,36508
2010-04-07,156.75,157.5,155.27499389648438,156.22500610351562,117.133544921875,96394
2010-04-08,155.97500610351562,162.39999389648438,155.97500610351562,158.0500030517578,118.50187683105469,133266
2010-04-09,159.14999389648438,161.5,156.39999389648438,157.47500610351562,118.07074737548828,163178
2010-04-12,142.5,165.0,142.5,160.5,120.33881378173828,176470
2010-04-13,162.3249969482422,162.3249969482422,155.3000030517578,156.64999389648438,117.4521484375,191068
2010-04-15,157.5,162.0,155.60000610351562,159.52499389648438,119.6077880859375,120036
2010-04-16,159.10000610351562,163.375,159.0,160.02499389648438,119.98267364501953,91968
2010-04-19,152.02499389648438,161.9499969482422,152.02499389648438,161.10000610351562,120.78866577148438,77622
